a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14
one,zero,2,one,38,one,zero,one,zero,two,39,one,48,zero
zero,zero,3,one,49,zero,zero,one,zero,zero,39,one,36,zero
zero,one,3,two,31,zero,zero,one,zero,two,39,one,22,one
zero,one,2,one,39,one,one,zero,zero,one,41,one,20,zero
one,two,4,three,37,zero,zero,one,zero,three,39,one,47,one
zero,zero,2,one,14,one,zero,one,zero,two,39,one,24,zero
zero,zero,5,two,22,one,one,zero,zero,zero,45,one,19,zero
zero,zero,2,two,32,one,one,zero,zero,zero,19,one,42,zero
one,zero,1,zero,15,zero,zero,one,zero,zero,53,one,6,one
one,one,2,zero,20,one,zero,zero,zero,three,39,one,30,one
one,zero,1,zero,11,zero,zero,one,zero,one,39,one,20,zero
zero,zero,5,four,31,zero,zero,one,zero,zero,39,one,9,zero
zero,two,3,zero,19,zero,zero,zero,zero,two,47,one,29,one
zero,one,1,one,29,one,zero,zero,zero,three,39,one,4,one
zero,zero,3,one,69,zero,zero,one,zero,zero,14,one,79,zero
zero,two,4,three,24,one,zero,one,zero,three,39,one,34,one
one,zero,3,zero,21,zero,zero,one,zero,one,47,one,31,zero
zero,zero,1,zero,8,zero,zero,zero,zero,one,39,one,18,zero
zero,one,1,zero,46,one,zero,one,zero,one,39,one,56,zero
one,one,0,zero,14,zero,zero,zero,zero,two,43,one,24,one
zero,one,2,one,45,zero,zero,one,zero,zero,59,one,55,one
zero,one,5,two,45,zero,zero,one,zero,zero,41,one,33,one
zero,one,2,one,22,zero,zero,one,zero,two,47,one,32,zero
zero,one,4,zero,19,zero,zero,zero,zero,two,47,one,17,zero
zero,zero,4,three,15,one,zero,one,zero,zero,41,one,13,zero
one,one,4,three,31,one,zero,one,zero,one,44,one,15,zero
zero,zero,3,two,25,zero,zero,one,zero,zero,59,one,15,zero
zero,one,6,zero,13,zero,zero,zero,zero,one,54,one,8,zero
one,one,4,one,40,zero,zero,one,zero,zero,49,one,2,one
one,one,1,zero,30,one,zero,zero,zero,two,39,one,40,one
one,zero,9,zero,13,zero,zero,zero,zero,two,76,one,8,zero
zero,zero,2,zero,11,one,zero,zero,zero,zero,47,one,21,zero
one,one,4,three,17,zero,zero,one,zero,two,59,one,27,one
zero,zero,10,three,48,zero,zero,one,zero,zero,83,one,58,zero
zero,two,3,two,39,zero,zero,one,zero,three,39,one,17,one
zero,one,6,zero,13,one,zero,zero,zero,two,24,one,23,zero
zero,one,0,zero,9,zero,zero,zero,zero,one,69,one,19,one
zero,zero,2,one,56,zero,one,zero,zero,zero,29,one,66,zero
zero,one,3,zero,8,zero,zero,zero,zero,two,39,one,18,zero
zero,two,4,three,28,zero,zero,one,zero,two,39,one,32,one
zero,three,0,zero,39,zero,zero,zero,zero,zero,55,one,40,zero
zero,one,3,two,19,zero,zero,one,zero,zero,39,one,29,zero
zero,one,5,zero,0,one,zero,zero,zero,zero,13,one,10,zero
one,zero,2,one,9,zero,zero,one,zero,zero,47,one,19,zero
zero,one,1,one,34,one,zero,zero,zero,three,29,one,35,one
zero,one,5,zero,53,zero,zero,zero,zero,one,39,one,19,zero
one,one,2,one,23,zero,zero,one,zero,one,71,one,33,one
zero,one,2,two,32,one,one,zero,zero,one,49,one,42,one
one,zero,1,zero,20,one,zero,one,zero,one,39,one,30,zero
zero,zero,5,four,27,zero,zero,one,zero,one,83,one,3,one
one,zero,3,two,21,one,zero,one,zero,one,19,one,6,zero
zero,one,3,two,26,zero,zero,one,zero,three,39,one,12,one
zero,two,3,two,26,one,zero,one,zero,two,69,one,36,one
zero,one,3,two,23,one,zero,one,zero,zero,29,one,20,zero
zero,zero,2,one,20,one,zero,one,zero,two,39,one,30,zero
one,zero,3,zero,23,zero,zero,zero,zero,zero,59,one,17,zero
zero,one,3,two,19,zero,zero,one,zero,two,44,one,3,one
zero,zero,4,two,31,zero,zero,one,zero,zero,39,one,34,zero
one,zero,7,three,20,one,zero,zero,zero,zero,59,one,30,zero
one,three,5,four,33,one,zero,one,zero,three,59,one,43,one
zero,zero,5,one,38,zero,zero,one,zero,zero,47,one,48,one
zero,zero,2,one,26,one,zero,one,zero,two,41,one,36,zero
zero,zero,6,five,25,zero,zero,one,zero,zero,53,one,35,zero
one,one,11,zero,1,zero,zero,zero,zero,zero,47,one,11,zero
zero,two,1,zero,55,one,zero,one,zero,two,43,one,22,one
zero,one,3,two,25,zero,zero,one,zero,two,43,one,35,one
one,zero,3,two,23,zero,zero,one,zero,one,39,one,10,one
zero,zero,6,five,46,zero,zero,one,zero,zero,47,one,56,zero
one,one,1,zero,22,zero,zero,one,zero,two,69,one,2,one
zero,zero,3,two,22,one,zero,one,zero,two,84,one,32,zero
zero,zero,3,two,38,zero,zero,one,zero,zero,39,one,32,one
one,zero,1,zero,22,one,zero,zero,zero,two,39,one,0,zero
one,zero,4,three,25,zero,zero,one,zero,zero,57,one,35,zero
zero,one,1,zero,22,zero,zero,one,zero,two,39,one,32,one
one,one,2,one,28,zero,zero,one,zero,one,69,one,13,zero
one,zero,5,four,27,one,zero,one,zero,zero,50,one,37,zero
one,zero,4,zero,29,one,zero,zero,zero,two,44,one,39,one
zero,two,4,one,26,zero,zero,one,zero,two,49,one,36,zero
one,zero,3,two,18,one,zero,one,zero,two,19,one,28,zero
one,zero,1,one,13,one,zero,zero,zero,zero,79,one,3,one
zero,one,3,two,29,zero,zero,one,zero,one,39,one,39,one
one,one,4,zero,10,one,zero,zero,zero,two,35,one,20,zero
one,zero,3,two,31,zero,zero,one,zero,zero,89,one,41,zero
one,zero,6,five,28,one,zero,one,zero,zero,39,one,38,zero
one,zero,4,three,24,zero,zero,one,zero,zero,39,one,10,zero
zero,one,1,zero,45,one,zero,one,zero,three,43,one,55,one
zero,zero,0,zero,27,zero,zero,zero,zero,two,47,one,10,one
zero,one,1,zero,24,one,zero,one,zero,two,21,one,2,zero
zero,two,3,two,40,zero,zero,one,zero,two,47,one,30,one
one,zero,3,two,18,zero,zero,one,zero,one,47,one,8,zero
one,zero,3,two,39,zero,zero,one,zero,one,39,one,49,zero
zero,zero,1,zero,40,one,zero,one,zero,zero,29,one,33,zero
zero,zero,2,two,35,one,one,zero,zero,one,47,one,45,zero
one,one,5,four,35,one,zero,one,zero,zero,59,one,45,zero
zero,two,4,three,53,one,zero,one,zero,one,14,one,63,zero
zero,zero,4,three,25,zero,zero,one,zero,two,43,one,33,zero
one,zero,4,four,41,one,zero,zero,zero,zero,39,one,7,zero
zero,zero,2,one,16,zero,zero,one,zero,zero,47,one,2,zero
zero,zero,3,two,18,zero,zero,one,zero,zero,59,one,3,zero
zero,zero,2,one,38,one,zero,one,zero,two,39,one,18,zero
zero,one,4,two,24,zero,zero,one,zero,three,59,one,24,one
zero,one,2,one,41,zero,zero,one,zero,zero,43,one,51,one
one,zero,1,zero,24,one,zero,one,zero,zero,89,one,23,zero
zero,zero,0,zero,42,zero,zero,zero,zero,two,20,one,6,one
zero,one,3,two,41,zero,zero,one,zero,one,39,one,29,one
zero,one,1,zero,54,one,zero,one,zero,zero,29,one,35,zero
zero,one,2,one,42,one,zero,one,zero,zero,76,one,52,zero
zero,one,1,zero,17,zero,zero,one,zero,two,39,one,27,one
one,one,1,zero,41,zero,zero,one,zero,two,39,one,24,zero
zero,zero,2,one,49,zero,zero,one,zero,zero,44,one,25,zero
one,zero,7,six,30,zero,zero,one,zero,zero,39,one,39,zero
zero,one,0,zero,13,one,zero,zero,zero,one,43,one,23,zero
one,one,4,three,29,one,zero,one,zero,two,39,one,4,zero
one,one,1,zero,18,one,zero,one,zero,two,39,one,4,zero
zero,zero,1,zero,50,zero,zero,one,zero,one,47,one,24,zero
zero,zero,3,two,29,zero,zero,one,zero,one,39,one,39,zero
zero,zero,1,zero,14,one,zero,one,zero,two,39,one,24,one
one,zero,6,zero,4,zero,zero,zero,zero,zero,54,one,14,zero
zero,one,3,two,23,zero,zero,one,zero,two,34,one,33,one
one,zero,7,zero,5,zero,zero,zero,zero,zero,49,one,1,zero
one,zero,4,three,31,zero,zero,one,zero,zero,47,one,19,zero
zero,one,2,zero,37,zero,zero,one,zero,one,79,one,21,zero
one,zero,2,one,15,zero,zero,one,zero,zero,29,one,8,one
zero,one,3,zero,15,zero,zero,zero,zero,one,43,one,25,zero
zero,zero,0,zero,20,one,zero,zero,zero,one,59,one,30,zero
zero,one,3,zero,7,one,zero,zero,zero,one,49,one,17,zero
zero,zero,4,three,27,one,zero,one,zero,zero,43,one,14,zero
zero,one,1,one,37,zero,one,zero,zero,zero,92,one,41,zero
one,zero,4,three,13,one,zero,one,zero,one,19,one,23,zero
zero,zero,1,zero,5,one,zero,zero,zero,one,14,one,15,zero
zero,zero,1,zero,34,zero,zero,zero,zero,zero,47,zero,44,zero
one,one,4,three,24,zero,zero,one,zero,two,47,one,15,one
one,zero,2,zero,12,zero,zero,zero,zero,one,47,one,2,zero
one,one,3,two,39,zero,zero,one,zero,three,63,one,44,one
one,zero,3,two,30,one,zero,one,zero,zero,15,one,37,zero
one,zero,2,zero,33,one,one,zero,zero,one,47,one,30,one
zero,one,7,three,15,zero,zero,one,zero,zero,39,one,25,zero
one,one,1,zero,35,zero,zero,one,zero,zero,55,one,45,one
one,zero,9,five,28,zero,zero,one,zero,zero,39,one,27,zero
zero,two,4,three,36,zero,zero,one,zero,zero,43,one,26,zero
one,zero,6,five,34,zero,zero,one,zero,zero,49,one,13,one
one,zero,5,four,18,zero,zero,one,zero,zero,39,one,16,zero
zero,zero,4,three,16,zero,zero,one,zero,one,55,one,26,zero
zero,zero,3,two,24,zero,zero,one,zero,zero,39,one,34,zero
one,zero,6,one,15,zero,zero,one,zero,zero,39,one,25,zero
one,zero,0,zero,18,zero,zero,zero,zero,zero,44,one,9,one
zero,one,2,zero,23,zero,zero,zero,zero,three,35,one,23,zero
zero,one,3,two,28,one,zero,one,zero,zero,53,one,22,zero
zero,zero,2,zero,9,zero,zero,zero,zero,zero,49,one,19,zero
zero,zero,2,one,20,zero,zero,one,zero,zero,71,one,10,zero
zero,one,2,one,41,one,zero,one,zero,one,53,one,51,zero
zero,one,2,zero,48,zero,zero,zero,zero,zero,65,one,58,zero
zero,zero,5,four,25,zero,zero,one,zero,zero,49,one,16,zero
one,zero,3,three,49,one,one,zero,zero,zero,39,one,8,zero
zero,zero,3,two,24,zero,zero,one,zero,zero,39,one,11,zero
zero,four,4,zero,17,one,zero,zero,zero,three,39,one,27,one
zero,zero,2,zero,29,one,zero,zero,zero,one,43,one,39,zero
one,zero,5,zero,9,zero,zero,zero,zero,zero,41,one,19,zero
one,zero,0,zero,35,one,zero,zero,zero,one,39,one,45,zero
zero,one,10,six,41,one,one,zero,zero,zero,19,one,14,zero
one,zero,2,zero,34,one,zero,one,zero,zero,35,one,28,zero
zero,zero,3,zero,23,zero,zero,zero,zero,two,39,one,33,zero
one,zero,8,seven,40,one,zero,one,zero,zero,29,one,21,zero
one,zero,3,two,31,zero,zero,one,zero,two,47,one,23,one
zero,zero,3,two,36,zero,zero,one,zero,one,39,one,32,zero
zero,zero,2,one,40,one,zero,one,zero,zero,56,one,50,zero
zero,zero,5,three,58,zero,zero,one,zero,zero,89,one,48,one
zero,one,5,three,24,zero,zero,one,zero,one,43,one,31,one
zero,zero,1,zero,42,zero,zero,one,zero,two,29,one,22,zero
one,zero,2,one,16,zero,zero,one,zero,zero,62,one,26,zero
zero,one,5,four,36,zero,zero,one,zero,one,48,one,42,one
one,zero,2,one,21,zero,zero,one,zero,zero,39,one,15,zero
zero,one,4,three,28,zero,zero,one,zero,zero,83,one,19,zero
one,one,4,three,20,one,zero,zero,zero,zero,47,one,12,zero
zero,zero,3,two,28,zero,zero,one,zero,one,69,one,38,one
one,zero,3,two,14,zero,zero,one,zero,zero,47,one,6,zero
zero,zero,2,one,13,zero,zero,one,zero,two,47,one,7,zero
zero,zero,1,zero,13,zero,zero,zero,zero,zero,24,one,5,zero
zero,one,3,two,33,zero,zero,one,zero,one,41,one,43,zero
zero,zero,3,two,47,one,zero,one,zero,zero,20,one,49,zero
zero,one,5,zero,12,zero,zero,zero,zero,zero,69,one,22,zero
zero,one,4,three,45,one,zero,one,zero,zero,19,zero,55,zero
zero,one,5,four,34,zero,zero,one,zero,zero,71,one,17,one
zero,two,2,one,42,zero,zero,one,zero,zero,39,one,52,one
zero,one,5,four,30,zero,zero,one,zero,zero,39,one,36,one
zero,zero,3,two,26,zero,zero,one,zero,zero,39,one,3,zero
zero,one,4,four,44,one,one,zero,zero,zero,6,one,36,zero
one,zero,5,two,24,one,zero,one,zero,zero,19,one,34,zero
zero,zero,0,zero,49,one,one,zero,zero,three,39,one,30,one
one,one,4,three,29,zero,zero,one,zero,zero,48,one,39,one
one,zero,0,zero,8,zero,zero,zero,zero,zero,59,one,1,zero
zero,zero,4,zero,40,one,zero,zero,zero,three,39,one,50,one
one,zero,2,one,12,zero,zero,one,zero,one,47,one,22,zero
one,one,4,three,25,zero,zero,one,zero,zero,34,one,19,one
zero,zero,3,two,36,zero,zero,one,zero,zero,41,one,14,zero
zero,zero,2,one,21,zero,zero,one,zero,two,48,one,1,zero
one,zero,4,three,32,one,zero,one,zero,zero,39,one,5,one
one,zero,5,zero,33,zero,zero,one,zero,zero,98,zero,0,zero
zero,zero,3,zero,15,zero,zero,one,zero,one,47,one,0,zero
one,zero,3,two,32,zero,zero,one,zero,two,47,one,19,one
one,one,3,two,25,zero,zero,one,zero,two,47,one,35,one
zero,one,4,three,26,zero,zero,one,zero,zero,59,one,36,one
one,one,1,zero,25,one,zero,zero,zero,two,47,one,35,zero
one,one,3,two,24,zero,zero,one,zero,one,43,one,12,one
zero,zero,5,zero,20,one,zero,zero,zero,one,39,one,30,zero
zero,one,5,one,47,one,one,zero,zero,zero,29,one,2,zero
zero,zero,6,five,22,zero,zero,one,zero,zero,90,one,32,zero
zero,zero,4,zero,42,one,one,zero,zero,zero,69,one,48,zero
zero,one,1,zero,19,one,zero,zero,zero,two,35,one,29,one
one,zero,3,two,22,zero,zero,one,zero,one,39,one,32,zero
zero,zero,6,three,33,one,zero,zero,zero,two,19,zero,43,zero
zero,zero,9,five,34,zero,zero,one,zero,one,29,one,44,zero
zero,zero,4,two,22,zero,zero,one,zero,zero,47,one,15,zero
zero,one,1,zero,47,zero,zero,one,zero,zero,24,one,22,one
one,zero,2,one,11,zero,zero,one,zero,one,83,one,16,zero
zero,zero,3,zero,52,zero,zero,one,zero,zero,35,one,5,one
one,zero,3,zero,13,zero,zero,one,zero,one,44,one,20,zero
zero,zero,2,one,39,zero,zero,one,zero,zero,39,one,49,zero
one,zero,0,zero,23,one,zero,zero,zero,one,44,one,5,zero
zero,one,2,one,36,zero,zero,one,zero,two,44,one,46,zero
zero,one,5,three,23,one,zero,one,zero,two,39,one,20,zero
zero,zero,8,zero,11,zero,zero,zero,zero,one,39,one,17,one
one,one,2,one,55,zero,zero,one,zero,zero,39,one,42,one
one,one,3,zero,4,one,zero,zero,zero,one,23,one,14,zero
zero,one,2,one,28,one,zero,one,zero,one,29,one,10,zero
one,zero,3,zero,13,zero,zero,zero,zero,one,41,one,4,zero
zero,zero,2,one,16,zero,zero,one,zero,one,23,one,26,zero
zero,zero,1,zero,51,zero,zero,one,zero,zero,47,one,17,zero
zero,zero,5,zero,27,zero,zero,zero,zero,zero,43,one,30,zero
zero,one,1,zero,15,zero,zero,one,zero,two,47,one,25,zero
zero,zero,1,zero,16,zero,zero,one,zero,zero,39,one,6,one
zero,zero,4,three,30,one,zero,one,zero,zero,70,one,20,zero
zero,one,2,one,36,one,zero,one,zero,two,39,one,14,one
one,one,6,five,27,one,zero,one,zero,zero,83,one,37,zero
zero,one,3,two,61,zero,zero,one,zero,zero,47,one,35,one
zero,one,1,zero,24,one,zero,zero,zero,two,47,one,30,one
zero,one,9,zero,11,one,zero,zero,zero,two,43,one,19,zero
zero,one,6,two,61,zero,zero,one,zero,zero,32,one,71,one
zero,one,3,two,43,zero,zero,one,zero,zero,84,one,53,one
zero,one,7,zero,6,zero,zero,zero,zero,one,4,one,16,zero
zero,one,6,two,32,one,zero,one,zero,one,39,one,10,zero
zero,zero,7,four,54,zero,zero,one,zero,zero,59,one,35,zero
zero,zero,5,four,24,one,zero,one,zero,zero,47,one,34,zero
zero,zero,1,zero,53,zero,one,zero,zero,zero,43,one,13,zero
one,one,1,zero,18,zero,zero,one,zero,zero,70,one,28,zero
zero,zero,3,zero,15,zero,zero,zero,zero,two,39,one,7,zero
zero,zero,2,one,34,zero,zero,one,zero,two,39,one,44,zero
one,zero,0,zero,11,one,zero,zero,zero,two,64,one,21,one
one,one,1,zero,16,zero,zero,one,zero,zero,47,one,1,zero
one,zero,3,two,29,zero,zero,one,zero,one,47,one,39,zero
zero,zero,3,two,24,zero,zero,one,zero,one,44,one,34,zero
zero,one,2,one,49,zero,zero,one,zero,one,39,one,47,one
zero,one,2,one,45,zero,zero,one,zero,zero,47,one,28,zero
zero,zero,0,zero,55,one,zero,zero,zero,zero,39,one,65,zero
zero,zero,0,zero,31,zero,zero,zero,zero,one,43,one,20,zero
zero,one,6,four,41,zero,zero,one,zero,one,98,one,34,zero
zero,one,4,three,42,zero,zero,one,zero,zero,49,one,52,one
zero,zero,2,zero,8,one,zero,zero,zero,one,49,one,13,zero
zero,one,5,four,34,zero,zero,one,zero,two,39,one,23,one
zero,zero,3,two,18,one,zero,one,zero,zero,37,one,28,zero
zero,one,2,one,15,zero,zero,one,zero,two,79,one,25,one
one,one,3,zero,9,one,zero,zero,zero,zero,35,one,1,zero
zero,one,3,two,22,zero,zero,one,zero,zero,59,one,32,one
zero,zero,4,zero,40,one,zero,zero,zero,two,39,one,50,one
zero,zero,4,three,43,zero,zero,one,zero,one,39,one,27,zero
zero,zero,4,three,39,zero,zero,one,zero,zero,19,one,4,zero
zero,zero,3,two,37,one,zero,one,zero,zero,34,one,35,zero
one,one,3,two,28,one,zero,one,zero,one,39,one,38,zero
one,one,3,zero,9,zero,zero,zero,zero,two,34,one,19,one
zero,one,0,zero,14,one,zero,zero,zero,two,35,one,10,zero
zero,zero,3,zero,14,zero,zero,zero,zero,zero,59,one,2,zero
zero,one,2,one,36,zero,zero,one,zero,zero,47,one,37,zero
zero,one,2,one,32,one,zero,one,zero,zero,43,one,42,zero
zero,zero,3,two,38,zero,zero,one,zero,two,47,one,48,zero
zero,zero,8,three,33,zero,zero,one,zero,zero,44,one,20,one
zero,one,1,zero,18,zero,zero,zero,zero,two,59,one,25,one
zero,zero,9,eight,28,one,zero,one,zero,zero,47,one,38,zero
zero,one,6,four,45,zero,zero,one,zero,one,71,one,55,one
zero,zero,2,one,21,zero,zero,one,zero,zero,59,one,31,zero
zero,zero,2,one,27,one,one,zero,zero,two,39,one,9,zero
zero,one,3,two,20,one,zero,one,zero,zero,47,one,30,zero
zero,one,2,one,36,zero,zero,one,zero,one,43,one,46,zero
zero,three,3,two,25,one,zero,one,zero,three,45,one,6,one
zero,zero,1,zero,20,one,zero,one,zero,zero,49,one,7,zero
zero,zero,5,zero,18,zero,zero,zero,zero,one,47,one,10,one
zero,zero,3,one,38,one,zero,one,zero,zero,47,one,28,zero
zero,one,4,two,44,zero,zero,one,zero,three,79,one,17,one
one,zero,5,zero,12,one,zero,zero,zero,zero,83,one,1,zero
zero,one,1,zero,52,zero,zero,one,zero,zero,47,one,62,zero
zero,zero,3,two,18,zero,zero,one,zero,zero,47,one,28,zero
one,one,2,one,46,zero,zero,one,zero,zero,68,one,43,zero
zero,zero,2,zero,26,zero,zero,one,zero,zero,49,one,36,zero
one,two,3,two,21,one,zero,one,zero,two,39,one,31,one
zero,zero,1,zero,41,one,zero,one,zero,zero,29,one,35,zero
one,zero,8,zero,11,zero,zero,zero,zero,zero,39,one,21,zero
one,zero,2,one,33,zero,zero,one,zero,zero,39,one,20,zero
zero,zero,2,one,21,zero,zero,one,zero,zero,34,one,31,zero
zero,zero,6,five,43,zero,zero,one,zero,zero,47,one,53,zero
one,zero,2,one,10,zero,zero,one,zero,one,44,one,20,zero
zero,zero,6,two,52,zero,zero,one,zero,one,62,one,27,zero
zero,zero,5,four,50,zero,zero,one,zero,zero,59,one,60,zero
zero,zero,3,one,34,one,one,zero,zero,zero,31,one,44,zero
zero,zero,2,one,49,one,zero,one,zero,zero,34,one,59,zero
zero,one,3,two,23,one,zero,one,zero,one,65,one,31,zero
zero,one,1,zero,33,zero,zero,one,zero,two,73,one,43,one
one,one,3,two,18,zero,zero,one,zero,two,47,one,28,zero
zero,two,3,two,32,one,zero,one,zero,two,39,one,14,one
zero,one,5,zero,9,zero,zero,zero,zero,one,47,one,19,zero
zero,zero,3,two,25,zero,zero,one,zero,one,39,one,35,zero
zero,zero,4,one,17,zero,zero,one,zero,zero,47,one,27,zero
zero,one,2,one,19,zero,zero,one,zero,two,39,one,29,one
zero,one,1,one,32,one,one,zero,zero,three,44,one,42,one
zero,one,2,one,38,one,zero,one,zero,zero,47,one,24,one
zero,zero,3,two,20,one,zero,one,zero,zero,39,one,27,zero
zero,zero,8,five,35,one,zero,one,zero,zero,29,one,33,zero
zero,two,3,one,57,one,zero,one,zero,zero,13,one,67,zero
zero,zero,1,zero,17,zero,one,zero,zero,two,45,one,22,one
zero,zero,3,two,30,zero,zero,one,zero,one,45,one,40,zero
one,three,2,one,16,one,zero,one,zero,two,29,one,26,one
zero,zero,0,zero,70,one,zero,zero,zero,zero,3,one,80,zero
zero,two,3,two,36,zero,zero,one,one,two,39,one,26,one
zero,one,7,zero,32,zero,one,zero,zero,three,39,one,42,one
zero,zero,1,zero,31,one,zero,one,zero,zero,49,one,41,one
zero,zero,9,four,43,one,zero,one,zero,zero,29,one,33,zero
zero,zero,2,zero,23,zero,zero,zero,zero,two,44,one,33,zero
zero,one,3,two,23,zero,zero,one,zero,zero,39,one,33,zero
zero,two,1,zero,14,one,zero,one,zero,two,38,one,15,zero
zero,zero,4,zero,13,zero,zero,zero,zero,two,47,one,18,zero
zero,one,2,one,14,zero,zero,one,zero,one,77,one,24,zero
one,zero,3,two,31,zero,zero,one,zero,two,43,one,30,one
one,zero,2,two,19,one,one,zero,zero,zero,19,one,29,zero
zero,one,3,two,35,zero,zero,one,zero,zero,59,one,7,zero
zero,one,4,three,35,zero,zero,one,zero,two,44,one,45,one
zero,one,3,zero,45,zero,one,zero,zero,three,59,one,16,one
zero,zero,6,two,16,one,zero,one,zero,two,9,one,26,zero
zero,zero,2,one,20,zero,zero,one,zero,one,43,one,9,zero
zero,two,3,two,24,one,zero,one,zero,three,23,one,34,zero
zero,zero,3,zero,12,zero,zero,zero,zero,two,43,one,14,zero
zero,zero,5,zero,19,zero,zero,one,zero,zero,35,one,10,zero
zero,one,5,three,39,zero,zero,one,zero,two,39,one,30,one
zero,zero,0,zero,1,zero,one,zero,zero,zero,43,one,10,zero
one,zero,2,one,34,zero,zero,one,zero,one,49,one,25,one
one,zero,2,one,16,zero,zero,one,zero,two,59,one,7,one
one,zero,4,zero,7,zero,zero,zero,zero,one,47,one,16,zero
zero,zero,4,three,16,one,zero,one,zero,one,49,one,8,zero
zero,two,3,zero,14,zero,zero,one,zero,two,47,one,17,one
zero,zero,5,four,34,zero,zero,one,zero,zero,39,one,44,zero
zero,one,4,one,56,zero,zero,one,zero,zero,29,one,66,zero
zero,zero,1,zero,20,one,zero,zero,zero,two,57,one,30,zero
zero,three,0,zero,10,zero,zero,zero,zero,one,23,one,20,zero
zero,zero,4,two,21,one,zero,one,zero,zero,39,one,20,zero
zero,zero,6,zero,16,zero,zero,zero,zero,zero,39,one,0,zero
zero,zero,4,three,32,one,zero,one,zero,zero,29,one,42,zero
one,zero,5,zero,9,one,zero,zero,zero,one,29,one,12,zero
one,zero,9,zero,5,zero,zero,zero,zero,zero,27,one,3,zero
one,zero,1,zero,12,zero,zero,one,zero,one,55,one,11,zero
zero,two,2,one,47,zero,zero,one,zero,two,43,one,57,one
zero,zero,7,five,34,one,zero,one,zero,zero,35,one,44,zero
one,zero,2,one,10,zero,zero,one,zero,zero,35,one,10,zero
one,one,6,one,21,zero,one,zero,zero,zero,51,one,18,zero
one,zero,4,three,27,zero,zero,one,zero,zero,47,one,32,zero
one,one,1,zero,31,one,zero,one,zero,one,59,one,10,zero
zero,one,2,zero,6,zero,zero,zero,zero,one,59,one,1,zero
zero,zero,3,zero,18,one,zero,zero,zero,one,47,one,28,zero
zero,one,5,two,25,zero,zero,one,zero,zero,39,one,35,zero
zero,zero,4,three,17,zero,zero,one,zero,zero,44,one,27,zero
zero,zero,1,zero,27,one,zero,zero,zero,two,39,one,8,zero
zero,zero,3,two,47,one,one,zero,zero,zero,39,one,47,zero
one,zero,3,two,30,zero,zero,one,zero,zero,47,one,40,zero
zero,zero,6,five,32,zero,zero,one,zero,one,47,one,18,zero
zero,one,2,one,42,one,zero,one,zero,two,43,one,52,zero
zero,two,2,one,28,zero,zero,one,one,three,47,one,14,one
zero,zero,3,zero,11,zero,zero,zero,zero,one,43,one,14,zero
zero,zero,3,two,24,zero,zero,one,zero,one,43,one,4,one
one,zero,2,two,28,one,zero,zero,zero,two,39,one,38,one
one,zero,1,zero,54,zero,zero,one,zero,zero,39,one,1,zero
zero,zero,4,four,29,one,zero,zero,zero,zero,51,one,39,zero
zero,zero,6,zero,22,one,zero,zero,zero,one,59,one,30,one
zero,one,3,two,45,one,zero,one,zero,zero,39,one,40,zero
zero,zero,1,one,25,one,zero,zero,zero,zero,43,one,15,zero
one,zero,4,two,43,zero,zero,one,zero,zero,69,one,10,one
one,zero,1,zero,41,one,zero,one,zero,zero,9,one,51,zero
one,one,3,zero,19,zero,zero,one,zero,zero,69,one,29,zero
one,zero,3,two,31,zero,zero,one,zero,zero,49,one,41,one
zero,zero,1,zero,41,one,zero,one,zero,zero,24,one,50,zero
one,zero,2,zero,8,zero,zero,zero,zero,zero,47,one,18,zero
zero,one,3,two,46,zero,zero,one,zero,two,49,one,56,one
zero,zero,4,three,27,one,zero,one,zero,zero,47,one,19,zero
one,one,2,one,32,one,zero,one,zero,one,69,one,42,one
one,zero,2,two,26,one,zero,zero,zero,zero,49,one,9,zero
zero,three,6,four,35,one,zero,one,zero,zero,64,one,30,one
one,zero,1,zero,44,one,one,zero,zero,zero,39,one,54,one
one,zero,2,one,12,zero,zero,one,zero,zero,64,one,7,one
one,zero,4,three,14,one,zero,one,zero,one,49,one,10,zero
one,zero,15,five,22,zero,zero,one,zero,zero,37,one,2,zero
zero,zero,0,zero,18,zero,zero,zero,zero,zero,47,one,5,zero
one,zero,4,two,40,zero,zero,one,zero,zero,83,one,1,zero
zero,zero,9,zero,16,one,zero,one,zero,one,59,one,26,zero
zero,one,1,one,43,one,one,zero,zero,two,29,one,53,one
zero,zero,2,one,37,one,zero,one,zero,two,39,one,12,zero
zero,one,4,three,17,zero,zero,one,zero,zero,39,one,27,zero
one,zero,3,one,19,one,zero,one,zero,two,39,one,3,zero
zero,zero,3,two,26,one,zero,one,zero,zero,29,one,36,zero
one,zero,0,zero,30,zero,zero,zero,zero,zero,31,one,25,zero
zero,zero,4,three,14,one,zero,one,zero,zero,14,one,18,zero
one,zero,2,zero,21,zero,zero,zero,zero,two,35,one,31,zero
one,zero,4,one,30,one,zero,zero,zero,two,47,one,40,zero
zero,one,4,three,26,one,zero,one,zero,one,44,one,7,zero
zero,zero,3,two,34,zero,zero,one,zero,one,39,one,30,one
one,zero,3,two,18,zero,zero,one,zero,one,98,one,2,zero
one,zero,7,zero,22,zero,zero,one,zero,zero,59,one,9,zero
one,one,3,two,28,zero,zero,one,zero,one,49,one,4,one
zero,two,2,one,29,zero,zero,one,zero,two,71,one,39,one
zero,zero,5,four,44,zero,zero,one,zero,zero,47,one,15,zero
